,Column1,NAME,NUMBER OF COURSES,companyname,coursetype,URL2,Column5
0,59,(ISC)² Systems Security Certified Practitioner (SSCP),6.0,(ISC)²,SPECIALIZATION,https://www.coursera.org/specializations/sscp-training,
1,357,3D Printing and Additive Manufacturing,5.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/3d-printing-additive-manufacturing,
2,355,商务基础 (中文版),5.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/wharton-shangwu-jichu,
3,502,商务英语课程 Business English,4.0,Arizona State University,SPECIALIZATION,https://www.coursera.org/specializations/shangwu-yingyu,
4,341,Éxito Profesional,10.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/exito-profesional,
5,436,Abnormal Psychology,3.0,Wesleyan University,SPECIALIZATION,https://www.coursera.org/specializations/abnormal-psychology,
6,116,Academic English: Writing,5.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/academic-english,
7,520,Academic Skills for University Success,5.0,The University of Sydney,SPECIALIZATION,https://www.coursera.org/specializations/academic-skills,
8,84,Accelerated Computer Science Fundamentals,3.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/cs-fundamentals,
9,307,Accounting Data Analytics,4.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/accounting-data-analytics,
10,92,Achieving Personal and Professional Success,4.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/wharton-success,
11,500,Active Optical Devices,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/active-optical-devices,
12,408,Adapting: Career Development,4.0,Macquarie University,SPECIALIZATION,https://www.coursera.org/specializations/adapting-career-development,
13,610,Advanced App Development in Android,4.0,Imperial College London,SPECIALIZATION,https://www.coursera.org/specializations/advanced-app-android,
14,342,Advanced Business Analytics,5.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/data-analytics-business,
15,127,Advanced Data Science with IBM,4.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/advanced-data-science-ibm,
16,177,Advanced Machine Learning,7.0,HSE University,SPECIALIZATION,https://www.coursera.org/specializations/aml,
17,208,Advanced Machine Learning on Google Cloud,5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp,
18,236,Advanced Statistics for Data Science,4.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/advanced-statistics-data-science,
